settlementDate,systemSellPrice
2016-01-01,13.5686
2016-01-02,13.5686
2016-01-03,13.5686
2016-01-04,13.5686
2016-01-05,13.5686
2016-01-06,13.5686
2016-01-07,13.5686
2016-01-08,13.5686
2016-01-09,13.5686
2016-01-10,13.5686
2016-01-11,13.5686
2016-01-12,13.5686
2016-01-13,13.5686
2016-01-14,13.5686
2016-01-15,13.5686
2016-01-16,13.5686
2016-01-17,13.5686
2016-01-18,13.5686
2016-01-19,13.5686
2016-01-20,13.5686
2016-01-21,13.5686
2016-01-22,13.5686
2016-01-23,13.5686
2016-01-24,13.5686
2016-01-25,13.5686
2016-01-26,13.5686
2016-01-27,13.5686
2016-01-28,13.5686
2016-01-29,13.5686
2016-01-30,13.5686
2016-01-31,13.5686
2016-02-01,12.7689
2016-02-02,12.7689
2016-02-03,12.7689
2016-02-04,12.7689
2016-02-05,12.7689
2016-02-06,12.7689
2016-02-07,12.7689
2016-02-08,12.7689
2016-02-09,12.7689
2016-02-10,12.7689
2016-02-11,12.7689
2016-02-12,12.7689
2016-02-13,12.7689
2016-02-14,12.7689
2016-02-15,12.7689
2016-02-16,12.7689
2016-02-17,12.7689
2016-02-18,12.7689
2016-02-19,12.7689
2016-02-20,12.7689
2016-02-21,12.7689
2016-02-22,12.7689
2016-02-23,12.7689
2016-02-24,12.7689
2016-02-25,12.7689
2016-02-26,12.7689
2016-02-27,12.7689
2016-02-28,12.7689
2016-02-29,12.7689
2016-03-01,10.9029
2016-03-02,10.9029
2016-03-03,10.9029
2016-03-04,10.9029
2016-03-05,10.9029
2016-03-06,10.9029
2016-03-07,10.9029
2016-03-08,10.9029
2016-03-09,10.9029
2016-03-10,10.9029
2016-03-11,10.9029
2016-03-12,10.9029
2016-03-13,10.9029
2016-03-14,10.9029
2016-03-15,10.9029
2016-03-16,10.9029
2016-03-17,10.9029
2016-03-18,10.9029
2016-03-19,10.9029
2016-03-20,10.9029
2016-03-21,10.9029
2016-03-22,10.9029
2016-03-23,10.9029
2016-03-24,10.9029
2016-03-25,10.9029
2016-03-26,10.9029
2016-03-27,10.9029
2016-03-28,10.9029
2016-03-29,10.9029
2016-03-30,10.9029
2016-03-31,10.9029
2016-04-01,10.7163
2016-04-02,10.7163
2016-04-03,10.7163
2016-04-04,10.7163
2016-04-05,10.7163
2016-04-06,10.7163
2016-04-07,10.7163
2016-04-08,10.7163
2016-04-09,10.7163
2016-04-10,10.7163
2016-04-11,10.7163
2016-04-12,10.7163
2016-04-13,10.7163
2016-04-14,10.7163
2016-04-15,10.7163
2016-04-16,10.7163
2016-04-17,10.7163
2016-04-18,10.7163
2016-04-19,10.7163
2016-04-20,10.7163
2016-04-21,10.7163
2016-04-22,10.7163
2016-04-23,10.7163
2016-04-24,10.7163
2016-04-25,10.7163
2016-04-26,10.7163
2016-04-27,10.7163
2016-04-28,10.7163
2016-04-29,10.7163
2016-04-30,10.7163
2016-05-01,10.6363
2016-05-02,10.6363
2016-05-03,10.6363
2016-05-04,10.6363
2016-05-05,10.6363
2016-05-06,10.6363
2016-05-07,10.6363
2016-05-08,10.6363
2016-05-09,10.6363
2016-05-10,10.6363
2016-05-11,10.6363
2016-05-12,10.6363
2016-05-13,10.6363
2016-05-14,10.6363
2016-05-15,10.6363
2016-05-16,10.6363
2016-05-17,10.6363
2016-05-18,10.6363
2016-05-19,10.6363
2016-05-20,10.6363
2016-05-21,10.6363
2016-05-22,10.6363
2016-05-23,10.6363
2016-05-24,10.6363
2016-05-25,10.6363
2016-05-26,10.6363
2016-05-27,10.6363
2016-05-28,10.6363
2016-05-29,10.6363
2016-05-30,10.6363
2016-05-31,10.6363
2016-06-01,10.7696
2016-06-02,10.7696
2016-06-03,10.7696
2016-06-04,10.7696
2016-06-05,10.7696
2016-06-06,10.7696
2016-06-07,10.7696
2016-06-08,10.7696
2016-06-09,10.7696
2016-06-10,10.7696
2016-06-11,10.7696
2016-06-12,10.7696
2016-06-13,10.7696
2016-06-14,10.7696
2016-06-15,10.7696
2016-06-16,10.7696
2016-06-17,10.7696
2016-06-18,10.7696
2016-06-19,10.7696
2016-06-20,10.7696
2016-06-21,10.7696
2016-06-22,10.7696
2016-06-23,10.7696
2016-06-24,10.7696
2016-06-25,10.7696
2016-06-26,10.7696
2016-06-27,10.7696
2016-06-28,10.7696
2016-06-29,10.7696
2016-06-30,10.7696
2016-07-01,11.4627
2016-07-02,11.4627
2016-07-03,11.4627
2016-07-04,11.4627
2016-07-05,11.4627
2016-07-06,11.4627
2016-07-07,11.4627
2016-07-08,11.4627
2016-07-09,11.4627
2016-07-10,11.4627
2016-07-11,11.4627
2016-07-12,11.4627
2016-07-13,11.4627
2016-07-14,11.4627
2016-07-15,11.4627
2016-07-16,11.4627
2016-07-17,11.4627
2016-07-18,11.4627
2016-07-19,11.4627
2016-07-20,11.4627
2016-07-21,11.4627
2016-07-22,11.4627
2016-07-23,11.4627
2016-07-24,11.4627
2016-07-25,11.4627
2016-07-26,11.4627
2016-07-27,11.4627
2016-07-28,11.4627
2016-07-29,11.4627
2016-07-30,11.4627
2016-07-31,11.4627
2016-08-01,11.3294
2016-08-02,11.3294
2016-08-03,11.3294
2016-08-04,11.3294
2016-08-05,11.3294
2016-08-06,11.3294
2016-08-07,11.3294
2016-08-08,11.3294
2016-08-09,11.3294
2016-08-10,11.3294
2016-08-11,11.3294
2016-08-12,11.3294
2016-08-13,11.3294
2016-08-14,11.3294
2016-08-15,11.3294
2016-08-16,11.3294
2016-08-17,11.3294
2016-08-18,11.3294
2016-08-19,11.3294
2016-08-20,11.3294
2016-08-21,11.3294
2016-08-22,11.3294
2016-08-23,11.3294
2016-08-24,11.3294
2016-08-25,11.3294
2016-08-26,11.3294
2016-08-27,11.3294
2016-08-28,11.3294
2016-08-29,11.3294
2016-08-30,11.3294
2016-08-31,11.3294
2016-09-01,10.5564
2016-09-02,10.5564
2016-09-03,10.5564
2016-09-04,10.5564
2016-09-05,10.5564
2016-09-06,10.5564
2016-09-07,10.5564
2016-09-08,10.5564
2016-09-09,10.5564
2016-09-10,10.5564
2016-09-11,10.5564
2016-09-12,10.5564
2016-09-13,10.5564
2016-09-14,10.5564
2016-09-15,10.5564
2016-09-16,10.5564
2016-09-17,10.5564
2016-09-18,10.5564
2016-09-19,10.5564
2016-09-20,10.5564
2016-09-21,10.5564
2016-09-22,10.5564
2016-09-23,10.5564
2016-09-24,10.5564
2016-09-25,10.5564
2016-09-26,10.5564
2016-09-27,10.5564
2016-09-28,10.5564
2016-09-29,10.5564
2016-09-30,10.5564
2016-10-01,10.6896
2016-10-02,10.6896
2016-10-03,10.6896
2016-10-04,10.6896
2016-10-05,10.6896
2016-10-06,10.6896
2016-10-07,10.6896
2016-10-08,10.6896
2016-10-09,10.6896
2016-10-10,10.6896
2016-10-11,10.6896
2016-10-12,10.6896
2016-10-13,10.6896
2016-10-14,10.6896
2016-10-15,10.6896
2016-10-16,10.6896
2016-10-17,10.6896
2016-10-18,10.6896
2016-10-19,10.6896
2016-10-20,10.6896
2016-10-21,10.6896
2016-10-22,10.6896
2016-10-23,10.6896
2016-10-24,10.6896
2016-10-25,10.6896
2016-10-26,10.6896
2016-10-27,10.6896
2016-10-28,10.6896
2016-10-29,10.6896
2016-10-30,10.6896
2016-10-31,10.6896
2016-11-01,12.1025
2016-11-02,12.1025
2016-11-03,12.1025
2016-11-04,12.1025
2016-11-05,12.1025
2016-11-06,12.1025
2016-11-07,12.1025
2016-11-08,12.1025
2016-11-09,12.1025
2016-11-10,12.1025
2016-11-11,12.1025
2016-11-12,12.1025
2016-11-13,12.1025
2016-11-14,12.1025
2016-11-15,12.1025
2016-11-16,12.1025
2016-11-17,12.1025
2016-11-18,12.1025
2016-11-19,12.1025
2016-11-20,12.1025
2016-11-21,12.1025
2016-11-22,12.1025
2016-11-23,12.1025
2016-11-24,12.1025
2016-11-25,12.1025
2016-11-26,12.1025
2016-11-27,12.1025
2016-11-28,12.1025
2016-11-29,12.1025
2016-11-30,12.1025
2016-12-01,13.7552
2016-12-02,13.7552
2016-12-03,13.7552
2016-12-04,13.7552
2016-12-05,13.7552
2016-12-06,13.7552
2016-12-07,13.7552
2016-12-08,13.7552
2016-12-09,13.7552
2016-12-10,13.7552
2016-12-11,13.7552
