date,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48
2016-01-01,238.71,238.572,238.867,242.761,238.789,232.231,240.991,238.12,238.361,239.955,240.512,244.971,242.544,239.929,235.865,234.542,240.579,245.677,239.599,238.891,241.946,232.44,237.905,241.748,243.582,238.248,241.203,240.588,243.146,234.07,242.121,232.148,226.856,236.494,235.015,243.594,242.581,233.563,243.457,234.601,238.987,237.993,239.948,243.32,242.457,241.075,242.512,241.691
2016-01-02,229.306,228.886,230.035,234.537,231.056,243.066,228.413,227.114,235.787,238.822,234.567,236.1,238.842,231.781,225.609,229.747,236.644,225.513,232.374,233.394,230.752,235.579,234.915,242.999,235.097,229.388,229.609,228.356,236.641,229.585,231.892,235.698,228.858,230.854,223.666,227.191,229.581,234.149,237.761,232.132,233.432,232.998,237.256,236.367,233.489,227.523,236.414,233.988
2016-01-03,230.558,224.901,233.826,223.421,232.206,225.554,222.712,219.957,224.356,231.442,228.71,228.136,214.343,228.236,227.538,222.561,222.212,225.026,232.799,220.287,223.111,231.165,223.028,223.397,225.476,219.449,226.026,219.592,229.02,225.05,235.313,226.3,231.183,219.17,224.486,226.49,232.893,217.471,229.495,227.698,231.938,228.242,225.27,222.688,219.418,225.916,224.173,234.129
2016-01-04,236.474,240.934,231.888,237.507,240.65,243.345,246.334,239.189,234.051,241.592,241.875,241.754,236.047,244.827,239.821,242.751,245.5,242.317,240.772,249.708,240.567,237.983,239.936,246.499,239.968,241.887,245.125,236.944,231.133,240.834,240.5,236.489,243.571,242.309,234.636,241.881,238.461,232.299,241.569,239.184,235.832,241.904,241.737,236.635,241.317,244.26,235.988,241.224
2016-01-05,239.413,250.25,230.483,242.729,237.934,238.92,248.505,239.359,250.13,237.283,241.078,237.05,236.093,239.699,238.047,240.37,229.321,248.988,238.6,247.745,234.578,240.801,254.554,235.236,232.241,236.783,241.662,242.72,245.578,238.169,231.728,237.317,245.338,241.63,230.03,239.232,246.094,249.582,242.089,240.881,233.462,235.363,239.625,241.809,242.178,237.11,233.885,235.676
2016-01-06,233.86,242.481,228.329,237.804,241.554,246.687,239.741,244.194,237.49,235.836,236.171,246.713,244.16,241.734,255.345,239.245,242.37,240.873,238.338,250.49,246.614,232.699,237.486,241.451,243.15,232.944,228.6,230.272,239.06,238.906,241.053,235.715,233.538,229.714,240.976,241.172,244.154,243.186,238.487,245.86,238.747,236.236,236.907,236.6,229.03,240.148,240.596,237.665
2016-01-07,235.982,241.18,247.62,239.583,236.969,236.568,239.066,233.344,238.8,239.693,248.232,243.917,244.351,235.986,242.608,233.945,240.894,241.405,235.73,248.973,242.117,230.29,242.047,237.449,239.407,241.63,241.27,229.637,233.854,243.099,245.63,248.512,248.034,229.558,243.084,230.225,247.126,240.613,233.936,249.023,242.483,230.345,240.805,235.899,239.933,237.173,245.976,232.585
2016-01-08,240.92,248.086,235.441,240.409,240.367,236.098,242.502,239.865,234.881,247.837,243.19,238.6,236.352,235.644,245.294,238.699,241.6,238.517,242.351,238.845,243.057,238.523,243.372,242.619,238.842,235.283,234.899,235.853,234.686,243.545,239.177,246.918,250.313,239.516,231.988,237.574,239.039,232.273,238.201,240.774,237.2,235.721,235.767,247.955,238.636,235.426,237.615,243.969
2016-01-09,229.038,234.456,235.599,235.697,238.719,229.661,237.479,228.536,230.376,237.773,236.037,232.228,226.685,234.827,229.29,227.927,229.208,233.363,222.367,233.894,233.026,229.503,237.034,235.058,229.402,229.106,235.447,225.177,230.673,229.287,232.543,233.199,232.389,237.489,233.277,230.755,226.594,235.571,234.671,238.956,228.747,232.341,231.945,231.811,232.266,224.255,236.05,235.252
2016-01-10,230.124,235.161,223.6,224.873,225.08,233.777,217.244,227.222,218.416,213.417,215.941,218.817,229.847,221.128,224.012,219.799,227.786,220.076,230.966,220.566,221.594,225.588,225.147,231.448,225.578,219.6,222.514,222.458,228.299,226.763,224.499,228.95,222.657,224.423,225.85,231.914,224.593,223.457,220.329,228.124,222.391,226.583,216.477,229.731,219.041,221.537,229.8,219.03
