region,lat,lon,households
East,51.4451,0.3674,81.983
East,51.4454,0.3530,49.068
East,51.4457,0.3387,7.809
East,51.4459,0.3243,15.610
East,51.4538,0.3823,16.722
East,51.4541,0.3679,277.569
East,51.4543,0.3535,37.122
East,51.4561,0.2672,4.973
East,51.4563,0.2528,4.366
East,51.4619,0.4259,0.839
East,51.4622,0.4115,0.157
East,51.4625,0.3971,1.864
East,51.4628,0.3827,486.641
East,51.4630,0.3683,2139.171
East,51.4633,0.3540,1068.774
East,51.4636,0.3396,49.905
East,51.4648,0.2820,25.574
East,51.4656,0.2389,28.244
East,51.4659,0.2245,29.518
East,51.4709,0.4264,87.611
East,51.4711,0.4120,53.788
East,51.4714,0.3976,38.277
East,51.4717,0.3832,20.280
East,51.4720,0.3688,456.399
East,51.4723,0.3544,178.138
East,51.4726,0.3400,1520.864
East,51.4729,0.3256,2665.774
East,51.4732,0.3113,1112.440
East,51.4735,0.2969,848.132
East,51.4737,0.2825,589.072
East,51.4740,0.2681,100.607
East,51.4743,0.2537,197.046
East,51.4748,0.2249,1.157
East,51.4751,0.2105,13.257
East,51.4795,0.4412,1.969
East,51.4798,0.4268,817.895
East,51.4801,0.4124,849.468
East,51.4804,0.3981,31.248
East,51.4807,0.3837,460.239
East,51.4810,0.3693,1419.971
East,51.4813,0.3549,533.695
East,51.4816,0.3405,2387.391
East,51.4819,0.3261,2506.123
East,51.4822,0.3117,1322.452
East,51.4824,0.2973,1794.412
East,51.4827,0.2829,694.182
East,51.4830,0.2685,127.245
East,51.4833,0.2542,723.706
East,51.4836,0.2398,1354.040
East,51.4885,0.4417,1.181
East,51.4888,0.4273,190.208
East,51.4891,0.4129,422.679
East,51.4894,0.3985,44.634
East,51.4897,0.3841,452.773
East,51.4900,0.3697,1202.601
East,51.4903,0.3553,897.439
East,51.4906,0.3410,1734.808
East,51.4909,0.3266,1923.650
East,51.4911,0.3122,2085.179
East,51.4914,0.2978,868.056
East,51.4917,0.2834,201.356
East,51.4920,0.2690,63.155
East,51.4923,0.2546,669.223
East,51.4925,0.2402,144.557
East,51.4928,0.2258,52.140
East,51.4931,0.2114,0.424
East,51.4975,0.4422,1.877
East,51.4978,0.4278,6.748
East,51.4981,0.4134,35.297
East,51.4984,0.3990,22.117
East,51.4987,0.3846,14.671
East,51.4990,0.3702,16.747
East,51.4993,0.3558,150.922
East,51.4996,0.3414,674.094
East,51.4998,0.3270,1203.550
East,51.5001,0.3126,115.737
East,51.5004,0.2982,543.103
East,51.5007,0.2838,909.215
East,51.5010,0.2694,486.266
East,51.5013,0.2550,1727.865
East,51.5015,0.2406,90.156
East,51.5018,0.2262,8.663
East,51.5021,0.2118,1.757
East,51.5056,0.4859,0.674
East,51.5059,0.4715,1.082
East,51.5062,0.4571,4.034
East,51.5065,0.4427,22.649
East,51.5068,0.4283,271.250
East,51.5071,0.4139,246.968
East,51.5074,0.3995,151.736
East,51.5077,0.3851,197.141
East,51.5080,0.3707,370.117
East,51.5083,0.3563,89.649
East,51.5085,0.3419,7.194
East,51.5088,0.3275,4.314
East,51.5091,0.3131,26.102
East,51.5094,0.2987,904.668
East,51.5097,0.2843,2544.772
East,51.5100,0.2699,532.819
East,51.5102,0.2555,553.943
East,51.5105,0.2411,12.364
East,51.5108,0.2267,1.627
East,51.5111,0.2123,1.434
East,51.5121,0.6015,1113.066
East,51.5124,0.5871,1660.198
East,51.5127,0.5727,297.008
East,51.5130,0.5583,80.892
East,51.5136,0.5295,3.127
East,51.5140,0.5151,4.113
East,51.5143,0.5007,1.567
East,51.5146,0.4863,7.661
East,51.5149,0.4719,10.418
East,51.5152,0.4575,6.910
East,51.5155,0.4431,1053.029
East,51.5158,0.4287,1836.135
East,51.5161,0.4143,526.488
East,51.5164,0.3999,20.281
East,51.5167,0.3855,39.695
East,51.5170,0.3711,136.071
East,51.5172,0.3567,7.337
East,51.5175,0.3423,0.320
East,51.5178,0.3279,0.899
East,51.5181,0.3135,101.756
East,51.5184,0.2991,1613.180
East,51.5187,0.2847,986.399
East,51.5189,0.2703,12.690
East,51.5192,0.2559,8.208
East,51.5195,0.2415,2.505
East,51.5204,0.6308,78.734
East,51.5207,0.6164,1432.774
East,51.5211,0.6020,2599.064
East,51.5214,0.5876,2799.692
East,51.5217,0.5732,1901.198
East,51.5220,0.5588,671.601
East,51.5223,0.5444,3.618
East,51.5226,0.5300,0.451
East,51.5232,0.5012,0.104
East,51.5236,0.4868,1.841
East,51.5239,0.4724,132.439
East,51.5242,0.4580,1424.126
East,51.5245,0.4436,3338.250
East,51.5248,0.4292,1316.043
East,51.5251,0.4148,78.383
East,51.5254,0.4004,270.655
East,51.5256,0.3860,9.637
East,51.5257,0.7898,813.513
East,51.5259,0.3716,7.685
East,51.5261,0.7754,1380.601
East,51.5262,0.3572,0.896
East,51.5268,0.3284,0.476
East,51.5271,0.3140,4.986
East,51.5274,0.2996,177.887
East,51.5277,0.2852,17.671
East,51.5279,0.2708,14.830
East,51.5282,0.2564,2.911
East,51.5285,0.2420,0.607
East,51.5300,0.6025,874.150
East,51.5304,0.5881,1319.483
East,51.5307,0.5737,858.971
East,51.5310,0.5593,23.697
East,51.5313,0.5449,2.107
East,51.5316,0.5305,0.091
East,51.5319,0.5161,0.141
East,51.5322,0.5017,0.117
East,51.5325,0.4873,0.859
East,51.5328,0.4729,136.590
East,51.5331,0.4585,710.176
East,51.5334,0.4441,1214.226
East,51.5337,0.4297,6.289
East,51.5340,0.4153,7.077
East,51.5343,0.4009,21.221
East,51.5344,0.8047,755.576
East,51.5346,0.3865,25.215
East,51.5347,0.7903,2077.378
East,51.5349,0.3721,6.531
East,51.5351,0.7759,2089.611
East,51.5352,0.3577,13.879
East,51.5354,0.7615,1185.315
East,51.5355,0.3433,4.810
East,51.5357,0.7471,936.161
East,51.5358,0.3289,0.952
East,51.5361,0.3144,0.713
East,51.5361,0.7327,3720.515
East,51.5364,0.3000,4.901
East,51.5364,0.7183,5240.760
East,51.5366,0.2856,3.393
East,51.5367,0.7039,3480.161
East,51.5369,0.2712,0.687
East,51.5371,0.6895,3089.428
East,51.5372,0.2568,2.273
East,51.5384,0.6319,8.470
East,51.5390,0.6031,2.458
East,51.5393,0.5887,0.506
East,51.5397,0.5743,106.186
East,51.5400,0.5598,76.454
East,51.5403,0.5454,3.447
East,51.5406,0.5310,0.507
East,51.5409,0.5166,0.110
East,51.5412,0.5022,0.084
East,51.5415,0.4878,0.886
East,51.5418,0.4734,32.890
East,51.5421,0.4590,60.328
East,51.5424,0.4446,8.145
East,51.5427,0.4302,5.421
East,51.5430,0.4158,7.467
East,51.5430,0.8197,132.884
East,51.5433,0.4014,21.905
East,51.5433,0.8053,337.919
East,51.5436,0.3870,2.289
East,51.5437,0.7909,1863.418
East,51.5439,0.3725,68.985
East,51.5440,0.7765,693.263
East,51.5442,0.3581,90.647
East,51.5444,0.7620,463.391
East,51.5445,0.3437,27.749
East,51.5447,0.7476,1359.516
East,51.5448,0.3293,0.502
East,51.5450,0.7332,3075.546
East,51.5451,0.3149,0.317
East,51.5453,0.3005,2.141
East,51.5454,0.7188,3776.906
East,51.5456,0.2861,2.379
East,51.5457,0.7044,5211.847
East,51.5460,0.6900,4674.553
East,51.5464,0.6756,3084.177
East,51.5467,0.6612,3483.037
East,51.5470,0.6468,2160.351
East,51.5474,0.6324,1754.963
East,51.5477,0.6180,909.207
East,51.5480,0.6036,198.558
East,51.5483,0.5892,69.851
East,51.5486,0.5748,320.790
East,51.5490,0.5603,1093.879
East,51.5493,0.5459,252.933
East,51.5496,0.5315,2.351
East,51.5499,0.5171,0.691
East,51.5502,0.5027,13.348
East,51.5505,0.4883,46.250
East,51.5508,0.4739,183.828
East,51.5511,0.4595,76.602
East,51.5514,0.4451,58.387
East,51.5516,0.8346,0.615
East,51.5517,0.4307,42.842
East,51.5520,0.4162,18.584
East,51.5520,0.8202,145.662
East,51.5523,0.4018,30.133
East,51.5523,0.8058,1143.933
East,51.5526,0.3874,7.409
East,51.5527,0.7914,720.017
East,51.5529,0.3730,29.629
East,51.5530,0.7770,29.321
East,51.5532,0.3586,12.210
East,51.5534,0.7626,43.209
East,51.5535,0.3442,2.960
East,51.5537,0.7482,137.538
East,51.5538,0.3298,0.185
East,51.5540,0.3154,1.070
East,51.5540,0.7338,388.220
East,51.5543,0.3009,1.513
East,51.5544,0.7194,907.335
East,51.5546,0.2865,0.377
East,51.5547,0.7050,1282.410
East,51.5550,0.6905,1636.219
East,51.5554,0.6761,1538.635
East,51.5557,0.6617,2199.995
East,51.5560,0.6473,1318.647
East,51.5563,0.6329,682.133
East,51.5567,0.6185,1189.907
East,51.5570,0.6041,1753.532
East,51.5573,0.5897,746.165
East,51.5576,0.5753,747.256
East,51.5579,0.5609,1981.323
East,51.5582,0.5464,836.875
East,51.5586,0.5320,5.531
East,51.5589,0.5176,73.740
East,51.5592,0.5032,569.983
East,51.5595,0.4888,1819.269
East,51.5598,0.4744,541.866
East,51.5599,0.8640,0.902
East,51.5601,0.4600,797.958
East,51.5603,0.8496,1.096
East,51.5604,0.4456,1087.753
East,51.5606,0.8352,3.072
East,51.5607,0.4311,501.891
East,51.5610,0.4167,766.417
East,51.5610,0.8208,8.303
East,51.5613,0.4023,402.987
East,51.5613,0.8064,7.601
East,51.5616,0.3879,20.844
East,51.5617,0.7920,200.388
East,51.5619,0.3735,1.318
East,51.5620,0.7775,7.947
East,51.5622,0.3591,47.269
East,51.5623,0.7631,17.159
East,51.5625,0.3446,20.854
East,51.5627,0.3302,15.377
East,51.5627,0.7487,3.144
East,51.5630,0.3158,7.177
East,51.5630,0.7343,12.704
East,51.5633,0.3014,16.561
East,51.5633,0.7199,104.553
East,51.5636,0.2870,2.304
East,51.5637,0.7055,762.152
East,51.5639,0.2726,44.030
East,51.5640,0.6911,725.038
East,51.5643,0.6767,1047.303
East,51.5647,0.6623,1735.216
East,51.5650,0.6478,1785.281
East,51.5653,0.6334,716.004
East,51.5656,0.6190,473.491
East,51.5660,0.6046,521.918
East,51.5663,0.5902,1390.494
