date,location_id,temperature_max_c,temperature_min_c,temperature_mean_c,wind_speed_mean_ms,cloud_cover_pct,precipitation_mm
2016-01-01,C3,4.4,-0.3,2.6,4.92,75,0.7
2016-01-02,C3,7.4,4.8,6.5,4.04,99,2.6
2016-01-03,C3,7.5,5.8,6.7,5.28,100,5.8
2016-01-04,C3,6.7,5.2,6.2,4.72,88,2.3
2016-01-05,C3,5.2,3.7,4.3,6.31,100,7.4
2016-01-06,C3,5.9,4.8,5.2,4.8,100,1.6
2016-01-07,C3,6.0,3.5,4.5,5.25,99,9.1
2016-01-08,C3,3.5,-2.7,0.3,2.03,66,0.8
2016-01-09,C3,2.6,-1.6,0.3,2.77,97,2.2
2016-01-10,C3,4.1,1.4,2.7,5.52,94,24.1
2016-01-11,C3,4.7,2.1,3.1,3.28,83,0.0
2016-01-12,C3,4.0,0.5,2.3,2.69,81,4.3
2016-01-13,C3,2.7,-2.1,0.3,2.42,71,2.7
2016-01-14,C3,2.0,-2.4,-0.5,3.1,58,0.9
2016-01-15,C3,3.1,-2.5,-0.4,2.91,24,0.0
2016-01-16,C3,0.4,-3.1,-1.2,2.02,82,2.0
2016-01-17,C3,0.1,-2.6,-0.9,2.22,97,0.0
2016-01-18,C3,1.4,0.1,0.8,1.31,100,9.0
2016-01-19,C3,2.8,-0.5,1.4,0.97,97,0.0
2016-01-20,C3,2.6,-0.7,1.4,1.5,76,0.0
2016-01-21,C3,6.1,-1.7,1.7,4.19,92,2.6
2016-01-22,C3,10.3,6.4,8.1,7.16,71,6.5
2016-01-23,C3,8.7,6.0,7.4,5.9,82,1.1
2016-01-24,C3,11.5,8.1,10.5,6.06,100,1.5
2016-01-25,C3,11.9,5.5,9.7,7.85,86,4.0
2016-01-26,C3,11.0,5.6,8.3,8.61,97,19.3
2016-01-27,C3,6.3,2.3,3.9,4.03,88,13.7
2016-01-28,C3,7.4,2.2,4.7,7.83,89,7.6
2016-01-29,C3,9.3,3.7,6.6,10.59,84,13.5
2016-01-30,C3,2.6,1.1,1.6,8.13,90,4.4
2016-01-31,C3,5.2,1.4,3.1,3.75,100,7.5
2016-02-01,C3,9.6,4.9,7.4,10.98,76,8.4
2016-02-02,C3,6.2,2.7,4.7,9.88,59,4.5
2016-02-03,C3,5.3,1.1,3.0,4.11,69,1.7
2016-02-04,C3,8.3,2.2,6.3,4.65,100,4.7
2016-02-05,C3,8.2,3.1,6.7,6.11,98,10.3
2016-02-06,C3,6.8,3.1,4.4,5.24,96,5.1
2016-02-07,C3,5.2,2.9,3.9,7.99,80,12.3
2016-02-08,C3,6.6,3.5,4.8,4.39,85,4.0
2016-02-09,C3,5.6,1.6,4.1,4.81,84,10.8
2016-02-10,C3,5.1,-1.6,1.6,3.33,18,0.0
2016-02-11,C3,5.4,-1.9,1.2,2.1,46,0.0
2016-02-12,C3,5.2,-1.5,1.5,3.64,42,0.0
2016-02-13,C3,2.9,0.1,1.3,4.78,56,0.4
2016-02-14,C3,3.7,-3.5,0.1,3.36,43,0.0
2016-02-15,C3,3.9,-3.9,-0.7,1.92,27,0.0
2016-02-16,C3,7.2,-0.5,4.3,7.49,100,18.5
2016-02-17,C3,4.9,-1.6,2.1,2.2,93,12.8
2016-02-18,C3,5.1,-2.0,1.3,3.48,57,2.4
2016-02-19,C3,7.2,1.5,4.0,6.1,96,5.9
2016-02-20,C3,4.5,3.2,3.9,7.52,98,5.5
2016-02-21,C3,5.0,2.3,3.8,6.24,92,7.6
2016-02-22,C3,7.5,-0.1,4.0,4.61,41,0.1
2016-02-23,C3,4.6,-2.8,0.2,2.4,16,0.2
